gene tissue p q v
PLEKHM1 GTEx.Testis 1.2e-12 1.86e-09 2.37820343934365e-15
LRRC37A17P GTEx.Testis 2.6e-11 2.39e-07 1.00030957263051e-12
WNT3 GTEx.Thyroid 1.17e-09 2.12e-06 8.76492387640550e-11
KANSL1 GTEx.Thyroid 1.74e-08 0.00086 3.75410805503357e-09
CRHR1 GTEx.Thyroid 1.12e-12 4.32e-10 2.0669725471717e-15
LRRC37A GTEx.Thyroid 1.02e-12 2.77e-09 2.78906923560239e-15
MAPT GTEx.Thyroid 3.25e-10 2.27e-08 1.77112574721924e-11
CRHR1-IT1 GTEx.Thyroid 1.98e-11 3.72e-08 5.95943903347541e-13
KANSL1-AS1 GTEx.Thyroid 2.06e-12 3.39e-10 1.31496157702863e-14
LRRC37A4P GTEx.Thyroid 1.14e-10 7.01e-09 4.76784993642878e-12
HOXB-AS1 GTEx.Thyroid 7.01e-11 0.591 3.06733402382477e-10
LRRC37A2 GTEx.Thyroid 1.96e-11 4.12e-07 7.57767807353382e-13
RP11-669E14.6 GTEx.Thyroid 1.4e-12 2.32e-10 8.85195933381786e-14
LRRC37A GTEx.Uterus 7.69e-12 8.42e-10 1.14595605600152e-13
MAPT GTEx.Uterus 1.25e-09 1.44e-07 8.51645730900615e-11
CRHR1-IT1 GTEx.Uterus 4.87e-12 3.19e-09 6.60447436560647e-14
KANSL1-AS1 GTEx.Uterus 1.22e-12 2.59e-10 3.11434610551831e-14
LRRC37A4P GTEx.Uterus 1.17e-12 2.07e-10 3.09880713255912e-13
LRRC37A2 GTEx.Uterus 5.2e-10 5.72e-07 3.26597268747289e-11
LRRC37A GTEx.Vagina 1.75e-11 7.43e-08 5.36588013071894e-13
CRHR1-IT1 GTEx.Vagina 1.23e-12 2.61e-10 1.67001939716567e-14
KANSL1-AS1 GTEx.Vagina 1.23e-12 2.61e-10 1.88529701962781e-14
LRRC37A4P GTEx.Vagina 2.55e-10 4.37e-09 1.24361994650363e-11
LRRC37A2 GTEx.Vagina 6.58e-12 1.49e-05 3.70641664905069e-13
LRRC37A GTEx.Whole_Blood 4.15e-10 2.36e-06 2.97767358968651e-11
CRHR1-IT1 GTEx.Whole_Blood 1.26e-12 3.58e-10 4.67961676190404e-15
KANSL1-AS1 GTEx.Whole_Blood 9.38e-13 8.22e-10 1.11500216359181e-15
LRRC37A4P GTEx.Whole_Blood 1.84e-12 3.92e-10 7.91466950847576e-15
LRRC37A2 GTEx.Whole_Blood 1.4e-11 3.71e-07 5.01093089254859e-13
ANKLE1 GTEx.Nerve_Tibial 1.83e-10 1.26e-07 1.04555329708716e-11
ANKLE1 GTEx.Thyroid 1.75e-09 1.51e-05 1.64900527596107e-10
